ticker,opt_strike_px,last_price,type
SFRU8C 100 Comdty,100.0,0.0225,c
SFRU8C 100.25 Comdty,100.25,0.015,c
SFRU8C 100.5 Comdty,100.5,0.0125,c
SFRU8C 100.75 Comdty,100.75,0.01,c
SFRU8C 101 Comdty,101.0,0.0075,c
SFRU8C 101.25 Comdty,101.25,0.0075,c
SFRU8C 101.5 Comdty,101.5,0.005,c
SFRU8C 101.75 Comdty,101.75,0.005,c
SFRU8C 102 Comdty,102.0,0.0025,c
SFRU8C 102.25 Comdty,102.25,0.0025,c
SFRU8C 102.5 Comdty,102.5,0.0025,c
SFRU8C 90.25 Comdty,90.25,6.135,c
SFRU8C 90.5 Comdty,90.5,5.885,c
SFRU8C 90.75 Comdty,90.75,5.635,c
SFRU8C 91 Comdty,91.0,5.385,c
SFRU8C 91.25 Comdty,91.25,5.135,c
SFRU8C 91.5 Comdty,91.5,4.885,c
SFRU8C 91.75 Comdty,91.75,4.635,c
SFRU8C 92 Comdty,92.0,4.385,c
SFRU8C 92.25 Comdty,92.25,4.135,c
SFRU8C 92.5 Comdty,92.5,3.885,c
SFRU8C 92.75 Comdty,92.75,3.635,c
SFRU8C 93 Comdty,93.0,3.385,c
SFRU8C 93.25 Comdty,93.25,3.14,c
SFRU8C 93.5 Comdty,93.5,2.9,c
SFRU8C 93.75 Comdty,93.75,2.665,c
SFRU8C 94 Comdty,94.0,2.4375,c
SFRU8C 94.125 Comdty,94.125,2.3275,c
SFRU8C 94.25 Comdty,94.25,2.2175,c
SFRU8C 94.375 Comdty,94.375,2.1125,c
SFRU8C 94.5 Comdty,94.5,2.0075,c
SFRU8C 94.625 Comdty,94.625,1.905,c
SFRU8C 94.75 Comdty,94.75,1.805,c
SFRU8C 94.875 Comdty,94.875,1.7075,c
SFRU8C 95 Comdty,95.0,1.6125,c
SFRU8C 95.125 Comdty,95.125,1.5175,c
SFRU8C 95.25 Comdty,95.25,1.4275,c
SFRU8C 95.375 Comdty,95.375,1.335,c
SFRU8C 95.5 Comdty,95.5,1.2475,c
SFRU8C 95.625 Comdty,95.625,1.1625,c
SFRU8C 95.75 Comdty,95.75,1.08,c
SFRU8C 95.875 Comdty,95.875,1.0,c
SFRU8C 96 Comdty,96.0,0.92,c
SFRU8C 96.125 Comdty,96.125,0.845,c
SFRU8C 96.25 Comdty,96.25,0.7775,c
SFRU8C 96.375 Comdty,96.375,0.715,c
SFRU8C 96.5 Comdty,96.5,0.655,c
SFRU8C 96.625 Comdty,96.625,0.6,c
SFRU8C 96.75 Comdty,96.75,0.5475,c
SFRU8C 96.875 Comdty,96.875,0.495,c
SFRU8C 97 Comdty,97.0,0.4475,c
SFRU8C 97.125 Comdty,97.125,0.4025,c
SFRU8C 97.25 Comdty,97.25,0.3625,c
SFRU8C 97.375 Comdty,97.375,0.3275,c
SFRU8C 97.5 Comdty,97.5,0.295,c
SFRU8C 97.625 Comdty,97.625,0.2675,c
SFRU8C 97.75 Comdty,97.75,0.24,c
SFRU8C 97.875 Comdty,97.875,0.215,c
SFRU8C 98 Comdty,98.0,0.1925,c
SFRU8C 98.125 Comdty,98.125,0.17,c
SFRU8C 98.25 Comdty,98.25,0.15,c
SFRU8C 98.375 Comdty,98.375,0.135,c
SFRU8C 98.5 Comdty,98.5,0.1275,c
SFRU8C 98.75 Comdty,98.75,0.1025,c
SFRU8C 99 Comdty,99.0,0.08,c
SFRU8C 99.25 Comdty,99.25,0.06,c
