ticker,opt_strike_px,last_price,type,ask
SFRZ8C 100 Comdty,100.0,0.0475,c,
SFRZ8C 100.25 Comdty,100.25,0.035,c,
SFRZ8C 100.5 Comdty,100.5,0.025,c,
SFRZ8C 100.75 Comdty,100.75,0.0175,c,
SFRZ8C 101 Comdty,101.0,0.0125,c,
SFRZ8C 101.25 Comdty,101.25,0.01,c,
SFRZ8C 101.5 Comdty,101.5,0.01,c,
SFRZ8C 101.75 Comdty,101.75,0.0075,c,
SFRZ8C 102 Comdty,102.0,0.0075,c,
SFRZ8C 90.25 Comdty,90.25,6.09,c,
SFRZ8C 90.5 Comdty,90.5,5.84,c,
SFRZ8C 90.75 Comdty,90.75,5.59,c,
SFRZ8C 91 Comdty,91.0,5.34,c,
SFRZ8C 91.25 Comdty,91.25,5.09,c,
SFRZ8C 91.5 Comdty,91.5,4.84,c,
SFRZ8C 91.75 Comdty,91.75,4.59,c,
SFRZ8C 92 Comdty,92.0,4.34,c,
SFRZ8C 92.25 Comdty,92.25,4.09,c,
SFRZ8C 92.5 Comdty,92.5,3.84,c,
SFRZ8C 92.75 Comdty,92.75,3.59,c,
SFRZ8C 93 Comdty,93.0,3.345,c,
SFRZ8C 93.25 Comdty,93.25,3.105,c,
SFRZ8C 93.5 Comdty,93.5,2.8725,c,
SFRZ8C 93.75 Comdty,93.75,2.645,c,
SFRZ8C 94 Comdty,94.0,2.425,c,
SFRZ8C 94.125 Comdty,94.125,2.3175,c,
SFRZ8C 94.25 Comdty,94.25,2.2125,c,
SFRZ8C 94.375 Comdty,94.375,2.1075,c,
SFRZ8C 94.5 Comdty,94.5,2.0025,c,
SFRZ8C 94.625 Comdty,94.625,1.9,c,
SFRZ8C 94.75 Comdty,94.75,1.7975,c,
SFRZ8C 94.875 Comdty,94.875,1.6975,c,
SFRZ8C 95 Comdty,95.0,1.605,c,
SFRZ8C 95.125 Comdty,95.125,1.5125,c,
SFRZ8C 95.25 Comdty,95.25,1.4225,c,
SFRZ8C 95.375 Comdty,95.375,1.3325,c,
SFRZ8C 95.5 Comdty,95.5,1.2475,c,
SFRZ8C 95.625 Comdty,95.625,1.1625,c,
SFRZ8C 95.75 Comdty,95.75,1.085,c,
SFRZ8C 95.875 Comdty,95.875,1.0075,c,
SFRZ8C 96 Comdty,96.0,0.93,c,
SFRZ8C 96.125 Comdty,96.125,0.8575,c,
SFRZ8C 96.25 Comdty,96.25,0.79,c,
SFRZ8C 96.375 Comdty,96.375,0.7275,c,
SFRZ8C 96.5 Comdty,96.5,0.67,c,
SFRZ8C 96.625 Comdty,96.625,0.6175,c,
SFRZ8C 96.75 Comdty,96.75,0.565,c,
SFRZ8C 96.875 Comdty,96.875,0.5175,c,
SFRZ8C 97 Comdty,97.0,0.475,c,
SFRZ8C 97.125 Comdty,97.125,0.435,c,
SFRZ8C 97.25 Comdty,97.25,0.3975,c,
SFRZ8C 97.375 Comdty,97.375,0.36,c,
SFRZ8C 97.5 Comdty,97.5,0.3275,c,
SFRZ8C 97.625 Comdty,97.625,0.2975,c,
SFRZ8C 97.75 Comdty,97.75,0.2725,c,
SFRZ8C 97.875 Comdty,97.875,0.25,c,
SFRZ8C 98 Comdty,98.0,0.23,c,
SFRZ8C 98.125 Comdty,98.125,0.2125,c,
SFRZ8C 98.25 Comdty,98.25,0.1975,c,
SFRZ8C 98.5 Comdty,98.5,0.165,c,
SFRZ8C 98.75 Comdty,98.75,0.135,c,
SFRZ8C 99 Comdty,99.0,0.11,c,
SFRZ8C 99.25 Comdty,99.25,0.09,c,
SFRZ8C 99.5 Comdty,99.5,0.075,c,
SFRZ8C 99.75 Comdty,99.75,0.06,c,
SFRZ8P 100 Comdty,100.0,3.66,p,
SFRZ8P 100.25 Comdty,100.25,3.91,p,
SFRZ8P 100.5 Comdty,100.5,4.16,p,
SFRZ8P 100.75 Comdty,100.75,4.41,p,
SFRZ8P 101 Comdty,101.0,4.66,p,
SFRZ8P 101.25 Comdty,101.25,4.91,p,
SFRZ8P 101.5 Comdty,101.5,5.16,p,
SFRZ8P 101.75 Comdty,101.75,5.41,p,
SFRZ8P 102 Comdty,102.0,5.66,p,
SFRZ8P 90.25 Comdty,90.25,0.0275,p,0.08
SFRZ8P 90.5 Comdty,90.5,0.03,p,
SFRZ8P 90.75 Comdty,90.75,0.0325,p,
SFRZ8P 91 Comdty,91.0,0.035,p,
SFRZ8P 91.25 Comdty,91.25,0.04,p,
SFRZ8P 91.5 Comdty,91.5,0.045,p,
SFRZ8P 91.75 Comdty,91.75,0.0525,p,
SFRZ8P 92 Comdty,92.0,0.0625,p,
SFRZ8P 92.25 Comdty,92.25,0.0725,p,
SFRZ8P 92.5 Comdty,92.5,0.0825,p,
SFRZ8P 92.75 Comdty,92.75,0.0925,p,
SFRZ8P 93 Comdty,93.0,0.1075,p,
SFRZ8P 93.25 Comdty,93.25,0.125,p,
SFRZ8P 93.5 Comdty,93.5,0.1475,p,
SFRZ8P 93.75 Comdty,93.75,0.1725,p,
SFRZ8P 94 Comdty,94.0,0.2,p,
SFRZ8P 94.125 Comdty,94.125,0.215,p,
SFRZ8P 94.25 Comdty,94.25,0.23,p,
SFRZ8P 94.375 Comdty,94.375,0.2475,p,
SFRZ8P 94.5 Comdty,94.5,0.265,p,
SFRZ8P 94.625 Comdty,94.625,0.2825,p,
SFRZ8P 94.75 Comdty,94.75,0.3,p,
SFRZ8P 94.875 Comdty,94.875,0.32,p,
SFRZ8P 95 Comdty,95.0,0.345,p,
SFRZ8P 95.125 Comdty,95.125,0.3725,p,
SFRZ8P 95.25 Comdty,95.25,0.4,p,
SFRZ8P 95.375 Comdty,95.375,0.43,p,
SFRZ8P 95.5 Comdty,95.5,0.46,p,
SFRZ8P 95.625 Comdty,95.625,0.495,p,
SFRZ8P 95.75 Comdty,95.75,0.5325,p,
SFRZ8P 95.875 Comdty,95.875,0.5725,p,
SFRZ8P 96 Comdty,96.0,0.6125,p,
SFRZ8P 96.125 Comdty,96.125,0.6575,p,
SFRZ8P 96.25 Comdty,96.25,0.705,p,
SFRZ8P 96.375 Comdty,96.375,0.76,p,
SFRZ8P 96.5 Comdty,96.5,0.82,p,
SFRZ8P 96.625 Comdty,96.625,0.8825,p,
SFRZ8P 96.75 Comdty,96.75,0.9475,p,
SFRZ8P 96.875 Comdty,96.875,1.0175,p,
SFRZ8P 97 Comdty,97.0,1.0925,p,
SFRZ8P 97.125 Comdty,97.125,1.17,p,
SFRZ8P 97.25 Comdty,97.25,1.25,p,
SFRZ8P 97.375 Comdty,97.375,1.3325,p,
SFRZ8P 97.5 Comdty,97.5,1.4175,p,
SFRZ8P 97.625 Comdty,97.625,1.5075,p,
SFRZ8P 97.75 Comdty,97.75,1.6,p,
SFRZ8P 97.875 Comdty,97.875,1.6975,p,
SFRZ8P 98 Comdty,98.0,1.8,p,
SFRZ8P 98.125 Comdty,98.125,1.905,p,
SFRZ8P 98.25 Comdty,98.25,2.01,p,
SFRZ8P 98.5 Comdty,98.5,2.2225,p,
SFRZ8P 98.75 Comdty,98.75,2.4425,p,
SFRZ8P 99 Comdty,99.0,2.6725,p,
SFRZ8P 99.25 Comdty,99.25,2.9125,p,
SFRZ8P 99.5 Comdty,99.5,3.16,p,
SFRZ8P 99.75 Comdty,99.75,3.41,p,
