ticker,opt_strike_px,last_price,type,volume
SFRH8C 100 Comdty,100.0,0.03,c,
SFRH8C 100.25 Comdty,100.25,0.0225,c,
SFRH8C 100.5 Comdty,100.5,0.0175,c,
SFRH8C 100.75 Comdty,100.75,0.015,c,
SFRH8C 101 Comdty,101.0,0.0125,c,
SFRH8C 101.25 Comdty,101.25,0.01,c,
SFRH8C 101.5 Comdty,101.5,0.0075,c,
SFRH8C 101.75 Comdty,101.75,0.0075,c,
SFRH8C 102 Comdty,102.0,0.005,c,
SFRH8C 102.25 Comdty,102.25,0.005,c,
SFRH8C 102.5 Comdty,102.5,0.0025,c,
SFRH8C 90.25 Comdty,90.25,6.22,c,
SFRH8C 90.5 Comdty,90.5,5.97,c,
SFRH8C 90.75 Comdty,90.75,5.72,c,
SFRH8C 91 Comdty,91.0,5.47,c,
SFRH8C 91.25 Comdty,91.25,5.22,c,
SFRH8C 91.5 Comdty,91.5,4.97,c,
SFRH8C 91.75 Comdty,91.75,4.72,c,
SFRH8C 92 Comdty,92.0,4.47,c,
SFRH8C 92.25 Comdty,92.25,4.22,c,
SFRH8C 92.5 Comdty,92.5,3.97,c,
SFRH8C 92.75 Comdty,92.75,3.72,c,
SFRH8C 93 Comdty,93.0,3.4725,c,
SFRH8C 93.25 Comdty,93.25,3.2275,c,
SFRH8C 93.5 Comdty,93.5,2.99,c,
SFRH8C 93.75 Comdty,93.75,2.7575,c,
SFRH8C 94 Comdty,94.0,2.5275,c,
SFRH8C 94.125 Comdty,94.125,2.4175,c,
SFRH8C 94.25 Comdty,94.25,2.305,c,
SFRH8C 94.375 Comdty,94.375,2.195,c,
SFRH8C 94.5 Comdty,94.5,2.0875,c,
SFRH8C 94.625 Comdty,94.625,1.9825,c,
SFRH8C 94.75 Comdty,94.75,1.8775,c,
SFRH8C 94.875 Comdty,94.875,1.775,c,
SFRH8C 95 Comdty,95.0,1.67,c,
SFRH8C 95.125 Comdty,95.125,1.5725,c,
SFRH8C 95.25 Comdty,95.25,1.475,c,
SFRH8C 95.375 Comdty,95.375,1.3775,c,
SFRH8C 95.5 Comdty,95.5,1.2875,c,
SFRH8C 95.625 Comdty,95.625,1.195,c,
SFRH8C 95.75 Comdty,95.75,1.105,c,
SFRH8C 95.875 Comdty,95.875,1.0175,c,
