ticker,opt_strike_px,last_price,type
SFRH9C 100 Comdty,100.0,0.0475,c
SFRH9C 100.25 Comdty,100.25,0.0375,c
SFRH9C 100.5 Comdty,100.5,0.03,c
SFRH9C 100.75 Comdty,100.75,0.0225,c
SFRH9C 101 Comdty,101.0,0.0175,c
SFRH9C 101.25 Comdty,101.25,0.015,c
SFRH9C 101.5 Comdty,101.5,0.0125,c
SFRH9C 101.75 Comdty,101.75,0.01,c
SFRH9C 102 Comdty,102.0,0.0075,c
SFRH9C 90.5 Comdty,90.5,5.8,c
SFRH9C 90.75 Comdty,90.75,5.55,c
SFRH9C 91 Comdty,91.0,5.3,c
SFRH9C 91.25 Comdty,91.25,5.05,c
SFRH9C 91.5 Comdty,91.5,4.8,c
SFRH9C 91.75 Comdty,91.75,4.55,c
SFRH9C 92 Comdty,92.0,4.3,c
SFRH9C 92.25 Comdty,92.25,4.05,c
SFRH9C 92.5 Comdty,92.5,3.8,c
SFRH9C 92.75 Comdty,92.75,3.55,c
SFRH9C 93 Comdty,93.0,3.3075,c
SFRH9C 93.25 Comdty,93.25,3.07,c
SFRH9C 93.5 Comdty,93.5,2.8375,c
SFRH9C 93.75 Comdty,93.75,2.6125,c
SFRH9C 94 Comdty,94.0,2.3925,c
SFRH9C 94.25 Comdty,94.25,2.18,c
SFRH9C 94.5 Comdty,94.5,1.975,c
SFRH9C 94.625 Comdty,94.625,1.875,c
SFRH9C 94.75 Comdty,94.75,1.7775,c
SFRH9C 94.875 Comdty,94.875,1.68,c
SFRH9C 95 Comdty,95.0,1.59,c
SFRH9C 95.125 Comdty,95.125,1.4975,c
SFRH9C 95.25 Comdty,95.25,1.41,c
SFRH9C 95.375 Comdty,95.375,1.325,c
SFRH9C 95.5 Comdty,95.5,1.24,c
SFRH9C 95.625 Comdty,95.625,1.1575,c
SFRH9C 95.75 Comdty,95.75,1.0825,c
SFRH9C 95.875 Comdty,95.875,1.0075,c
SFRH9C 96 Comdty,96.0,0.935,c
SFRH9C 96.125 Comdty,96.125,0.8625,c
SFRH9C 96.25 Comdty,96.25,0.795,c
SFRH9C 96.375 Comdty,96.375,0.7325,c
SFRH9C 96.5 Comdty,96.5,0.6725,c
SFRH9C 96.625 Comdty,96.625,0.615,c
SFRH9C 96.75 Comdty,96.75,0.5625,c
SFRH9C 96.875 Comdty,96.875,0.515,c
SFRH9C 97 Comdty,97.0,0.47,c
SFRH9C 97.125 Comdty,97.125,0.43,c
SFRH9C 97.25 Comdty,97.25,0.395,c
SFRH9C 97.375 Comdty,97.375,0.36,c
SFRH9C 97.5 Comdty,97.5,0.3275,c
SFRH9C 97.625 Comdty,97.625,0.3,c
SFRH9C 97.75 Comdty,97.75,0.2725,c
SFRH9C 97.875 Comdty,97.875,0.2475,c
SFRH9C 98 Comdty,98.0,0.225,c
SFRH9C 98.125 Comdty,98.125,0.2075,c
SFRH9C 98.25 Comdty,98.25,0.19,c
SFRH9C 98.5 Comdty,98.5,0.16,c
SFRH9C 98.75 Comdty,98.75,0.135,c
SFRH9C 99 Comdty,99.0,0.1125,c
SFRH9C 99.25 Comdty,99.25,0.095,c
SFRH9C 99.5 Comdty,99.5,0.0775,c
SFRH9C 99.75 Comdty,99.75,0.0625,c
SFRH9P 100 Comdty,100.0,3.7,p
SFRH9P 100.25 Comdty,100.25,3.95,p
SFRH9P 100.5 Comdty,100.5,4.2,p
SFRH9P 100.75 Comdty,100.75,4.45,p
SFRH9P 101 Comdty,101.0,4.7,p
SFRH9P 101.25 Comdty,101.25,4.95,p
SFRH9P 101.5 Comdty,101.5,5.2,p
SFRH9P 101.75 Comdty,101.75,5.45,p
SFRH9P 102 Comdty,102.0,5.7,p
SFRH9P 90.5 Comdty,90.5,0.0425,p
SFRH9P 90.75 Comdty,90.75,0.045,p
SFRH9P 91 Comdty,91.0,0.0475,p
SFRH9P 91.25 Comdty,91.25,0.0525,p
SFRH9P 91.5 Comdty,91.5,0.0575,p
SFRH9P 91.75 Comdty,91.75,0.065,p
