ticker,opt_strike_px,last_price,type
SFRM8C 100 Comdty,100.0,0.0225,c
SFRM8C 100.25 Comdty,100.25,0.0175,c
SFRM8C 100.5 Comdty,100.5,0.0125,c
SFRM8C 100.75 Comdty,100.75,0.01,c
SFRM8C 101 Comdty,101.0,0.0075,c
SFRM8C 101.25 Comdty,101.25,0.0075,c
SFRM8C 101.5 Comdty,101.5,0.005,c
SFRM8C 101.75 Comdty,101.75,0.005,c
SFRM8C 102 Comdty,102.0,0.0025,c
SFRM8C 102.25 Comdty,102.25,0.0025,c
SFRM8C 102.5 Comdty,102.5,0.0025,c
SFRM8C 90.25 Comdty,90.25,6.175,c
SFRM8C 90.5 Comdty,90.5,5.925,c
SFRM8C 90.75 Comdty,90.75,5.675,c
SFRM8C 91 Comdty,91.0,5.425,c
SFRM8C 91.25 Comdty,91.25,5.175,c
SFRM8C 91.5 Comdty,91.5,4.925,c
SFRM8C 91.75 Comdty,91.75,4.675,c
SFRM8C 92 Comdty,92.0,4.425,c
SFRM8C 92.25 Comdty,92.25,4.175,c
SFRM8C 92.5 Comdty,92.5,3.925,c
SFRM8C 92.75 Comdty,92.75,3.675,c
SFRM8C 93 Comdty,93.0,3.425,c
SFRM8C 93.25 Comdty,93.25,3.18,c
SFRM8C 93.5 Comdty,93.5,2.94,c
SFRM8C 93.75 Comdty,93.75,2.7075,c
SFRM8C 94 Comdty,94.0,2.4775,c
SFRM8C 94.125 Comdty,94.125,2.3625,c
SFRM8C 94.25 Comdty,94.25,2.2525,c
SFRM8C 94.375 Comdty,94.375,2.1425,c
SFRM8C 94.5 Comdty,94.5,2.035,c
SFRM8C 94.625 Comdty,94.625,1.9275,c
SFRM8C 94.75 Comdty,94.75,1.825,c
SFRM8C 94.875 Comdty,94.875,1.7225,c
SFRM8C 95 Comdty,95.0,1.625,c
SFRM8C 95.125 Comdty,95.125,1.5275,c
SFRM8C 95.25 Comdty,95.25,1.435,c
SFRM8C 95.375 Comdty,95.375,1.345,c
SFRM8C 95.5 Comdty,95.5,1.2525,c
SFRM8C 95.625 Comdty,95.625,1.165,c
SFRM8C 95.75 Comdty,95.75,1.08,c
SFRM8C 95.875 Comdty,95.875,1.0,c
SFRM8C 96 Comdty,96.0,0.9225,c
SFRM8C 96.125 Comdty,96.125,0.85,c
SFRM8C 96.25 Comdty,96.25,0.78,c
SFRM8C 96.375 Comdty,96.375,0.715,c
SFRM8C 96.5 Comdty,96.5,0.6525,c
SFRM8C 96.625 Comdty,96.625,0.595,c
SFRM8C 96.75 Comdty,96.75,0.54,c
SFRM8C 96.875 Comdty,96.875,0.4875,c
SFRM8C 97 Comdty,97.0,0.44,c
SFRM8C 97.125 Comdty,97.125,0.3975,c
SFRM8C 97.25 Comdty,97.25,0.3575,c
SFRM8C 97.375 Comdty,97.375,0.3225,c
SFRM8C 97.5 Comdty,97.5,0.29,c
SFRM8C 97.625 Comdty,97.625,0.26,c
SFRM8C 97.75 Comdty,97.75,0.2325,c
SFRM8C 97.875 Comdty,97.875,0.2075,c
SFRM8C 98 Comdty,98.0,0.1875,c
SFRM8C 98.125 Comdty,98.125,0.1675,c
SFRM8C 98.25 Comdty,98.25,0.15,c
SFRM8C 98.375 Comdty,98.375,0.135,c
SFRM8C 98.5 Comdty,98.5,0.1225,c
SFRM8C 98.75 Comdty,98.75,0.0975,c
SFRM8C 99 Comdty,99.0,0.075,c
SFRM8C 99.25 Comdty,99.25,0.0575,c
SFRM8C 99.5 Comdty,99.5,0.0425,c
SFRM8C 99.75 Comdty,99.75,0.03,c
SFRM8P 100 Comdty,100.0,3.575,p
SFRM8P 100.25 Comdty,100.25,3.825,p
SFRM8P 100.5 Comdty,100.5,4.075,p
SFRM8P 100.75 Comdty,100.75,4.325,p
